ticker,company_name,median_worker_pay,pay_ratio,ceo_name,salary,industry,sector,fullTimeEmployees,longBusinessSummary,totalRevenue,grossProfits,freeCashflow,operatingCashflow
ADV,"Advantage Solutions, Inc.",14328,721,Tanya Domier,10330444,Advertising Agencies,Communication Services,22000.0,"Advantage Solutions Inc. provides outsourced solutions to consumer goods companies and retailers in North America and internationally. It operates in two segments, Sales and Marketing. The Sales segment offers brand-centric services, such as headquarter relationship management; analytics, insights, and intelligence; administration; and brand-centric merchandising services. This segment also provides retailer-centric services comprising retailer-centric merchandising, in-store media, and digital commerce. The Marketing segment offers brand-centric services, including shopper and consumer marketing, and brand experiential services; and retailer-centric services, such as retail experiential, private label, digital marketing, and digital media and advertising. The company was formerly known as Karman Holding Corp. and changed its name to Advantage Solutions Inc. in March 2016. The company was founded in 1987 and is headquartered in Irvine, California.",4049742080.0,556559000.0,104855504.0,121258000.0
AMC,"AMC Entertainment Holdings, Inc.",9386,2015,Adam Aron,18909546,Entertainment,Communication Services,2787.0,"AMC Entertainment Holdings, Inc., through its subsidiaries, engages in the theatrical exhibition business. The company owns, operates, or has interests in theatres in the United States and Europe. AMC Entertainment Holdings, Inc. was founded in 1920 and is headquartered in Leawood, Kansas.",0.0,290500000.0,0.0,0.0
AMCX,AMC Networks Inc.,64652,185,Matthew Blank,6967220,Entertainment,Communication Services,1948.0,"AMC Networks Inc., an entertainment company, owns and operates a suite of video entertainment products that are delivered to audiences and a platform to distributors and advertisers in the United States and internationally. The company operates through Domestic Operations, and International and Other. The Domestic Operations segment operates various national programming networks, including the AMC, WE tv, BBC AMERICA, IFC, and SundanceTV; provides subscription streaming services comprising Acorn TV, Shudder, Sundance Now, ALLBLK, and HIDIVE, as well as AMC+ and other streaming initiatives; and engages in film distribution business under the IFC Films name. This segment also produces and licenses original programming for various programming networks, as well as services the national programming networks. The International and Other segment operates a portfolio of channels under the AMCNI name; and production and comedy venues activities under the Levity name. AMC Networks Inc. was founded in 1980 and is headquartered in New York, New York.",3096545024.0,1580643000.0,1620582144.0,181834000.0
ATEX,Anterix Inc.,300000,24,Robert Schwartz,6532403,Telecom Services,Communication Services,73.0,"Anterix Inc. operates as a wireless communications company. The company focuses on commercializing its spectrum assets to enable the targeted utility and critical infrastructure customers to deploy private broadband networks, technologies, and solutions. It holds licensed spectrum in the 900 MHz band with coverage throughout the United States, Alaska, Hawaii, and Puerto Rico. The company was formerly known as pdvWireless, Inc. and changed its name to Anterix Inc. in August 2019. Anterix Inc. was incorporated in 1997 and is headquartered in Woodland Park, New Jersey.",1646000.0,1079000.0,-32997876.0,-27800000.0
ATNI,"ATN International, Inc.",54116,62,Michael Prior,3379851,Telecom Services,Communication Services,2400.0,"ATN International, Inc., through its subsidiaries, provides telecommunications services to retail and business customers worldwide. The company operates through International Telecom and US Telecom segments. It offers mobile, data, and voice services; handsets and accessories; high-speed broadband, voice, video, and fixed services, as well as fiber broadband and managed IT services; wholesale roaming, site maintenance, and international long-distance services, as well as leases critical network infrastructure, including towers and transport facilities; and information technology services, such as network, application, infrastructure, and hosting services. The company was formerly known as Atlantic Tele-Network, Inc. and changed its name to ATN International, Inc. in June 2016. ATN International, Inc. was incorporated in 1987 and is headquartered in Beverly, Massachusetts.",739500032.0,397087000.0,-48111248.0,107536000.0
ATUS,"Altice USA, Inc.",79575,482,Dexter Goei,38333508,Telecom Services,Communication Services,11000.0,"Altice USA, Inc., together with its subsidiaries, provides broadband communications and video services in the United States, Canada, Puerto Rico, and the Virgin Islands. It offers broadband, video, telephony, and mobile services to residential and business customers. The company's video services include delivery of broadcast stations and cable networks; over the top services; video-on-demand, high-definition channels, digital video recorder, and pay-per-view services; and platforms for video programming through mobile applications. It also provides voice over Internet protocol telephone services; and mobile services, such as data, talk, and text. In addition, the company offers Ethernet, data transport, IP-based virtual private networks, Internet access, and telephony services; hosted telephony services, managed Wi-Fi, managed desktop and server backup, and collaboration services comprising audio and web conferencing; fiber-to-the-tower services to wireless carriers; data services consisting of wide area networking and dedicated data access, as well as wireless mesh networks; and enterprise class telephone services that include traditional multi-line phone service. Further, it provides business e-mail, hosted private branch exchange, web space storage, and network security monitoring; and international calling and toll free numbers. Additionally, the company offers audience-based and IP-authenticated cross-screen advertising solutions; and television and digital advertising services, as well as operates news channels under the News 12 Networks, Cheddar, and i24NEWS names. It also provides broadband communications and video services under the Optimum and Suddenlink brands. The company was incorporated in 2015 and is headquartered in Long Island City, New York.",0.0,6442021000.0,0.0,0.0
ATVI,"Activision Blizzard, Inc.",117207,7,Robert Kotick,826549,Electronic Gaming & Multimedia,Communication Services,13000.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision, Blizzard, and King. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, Overwatch League, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. The company is headquartered in Santa Monica, California.",8143000064.0,5306000000.0,0.0,0.0
AUD,"Audacy, Inc.",56639,33,David Field,2511305,Broadcasting,Communication Services,3539.0,"Audacy, Inc., a multi-platform audio content and entertainment company, engages in the radio broadcasting business in the United States. The company owns and operates radio stations in various formats, such as news, sports, talk, classic rock, urban, adult contemporary, alternative, country, and others, as well as offers integrated marketing solutions across its broadcast, digital, podcast, and event platforms. It also broadcasts through its websites, podcasts, audio on-demand, and exclusive content. In addition, the company creates live and original events, including concerts and live performances. It offers its services under Audacy and AmperWave brands. The company was formerly known as Entercom Communications Corp. and changed its name to Audacy, Inc. in April 2021. Audacy, Inc. was founded in 1968 and is headquartered in Philadelphia, Pennsylvania.",1253664000.0,223177000.0,-26644250.0,542000.0
BAND,Bandwidth Inc.,93073,36,David Morken,3384684,Software—Infrastructure,Technology,1100.0,"Bandwidth Inc. operates as a cloud-based software-powered communications platform-as-a-service (CPaaS) provider in the United States. Its platform enables enterprises to create, scale, and operate voice or messaging communications services across various mobile applications or connected devices. The company serves large enterprises, as well as small and medium-sized businesses. Bandwidth Inc. was founded in 2000 and is headquartered in Raleigh, North Carolina.",0.0,238853000.0,0.0,0.0
CABO,"Cable One, Inc.",62778,69,Julia Laulis,4327815,Telecom Services,Communication Services,3132.0,"Cable One, Inc., together with its subsidiaries, provides data, video, and voice services in the United States. The company offers residential data services, a service to enhance Wi-Fi signal throughout the home. It also provides various residential video services from basic video service to digital services with access to hundreds of channels; and provides a cloud-based DVR feature that does not require the use of a set-top boxes. In addition, the company offers Sparklight TV, an IPTV video service that allows customers to stream its video channels from the cloud through an app on supported devices, such as the Amazon Firestick, Apple TV, and Android-based smart televisions. Further, it provides data, voice, and video products to business customers, including small to mid-markets, enterprises, and wholesale and carrier customers. As of December 31, 2022, the company served approximately 1.1 million residential and business customers, comprising approximately 1,060,000 subscribed to data services, 182,000 subscribed to video services, and 132,000 subscribed to voice services. Cable One, Inc. was incorporated in 1980 and is headquartered in Phoenix, Arizona.",0.0,1235127000.0,0.0,0.0
